nat,inside,start_port,end_port
5.38.72.10,10.11.11.10,12903,14599
5.38.72.10,10.11.12.10,14600,16296
5.38.72.10,10.11.13.10,16297,17993
5.38.72.10,10.11.14.10,17994,19690
5.38.72.10,10.11.15.10,19691,21387
5.38.72.10,10.48.0.10,21388,23084
5.38.72.10,10.48.1.10,23085,24781
5.38.72.10,10.48.8.10,24782,26478
5.38.72.10,10.48.9.10,26479,28175
5.38.72.10,10.48.10.10,28176,29872
5.38.72.10,10.48.11.10,29873,31569
5.38.72.10,10.48.12.10,31570,33266
5.38.72.10,10.48.13.10,33267,34963
5.38.72.10,10.48.14.10,34964,36660
5.38.72.10,10.48.15.10,36661,38357
5.38.72.10,10.48.16.10,38358,40054
5.38.72.10,10.48.17.10,40055,41751
5.38.72.10,10.48.18.10,41752,43448
5.38.72.10,10.48.19.10,43449,45145
5.38.72.10,10.48.20.10,45146,46842
5.38.72.10,10.48.21.10,46843,48539
5.38.72.10,10.48.22.10,48540,50236
5.38.72.10,10.48.23.10,50237,51933
5.38.72.10,10.48.24.10,51934,53630
5.38.72.10,10.48.25.10,53631,55327
5.38.72.10,10.48.26.10,55328,57024
5.38.72.10,10.48.27.10,57025,58721
5.38.72.10,10.48.28.10,58722,60418
5.38.72.10,10.48.29.10,60419,62115
5.38.72.10,10.48.30.10,62116,63812
5.38.72.10,10.48.31.10,63813,65509
5.38.72.11,10.11.4.11,1024,2720
5.38.72.11,10.11.5.11,2721,4417
5.38.72.11,10.11.6.11,4418,6114
5.38.72.11,10.11.7.11,6115,7811
5.38.72.11,10.11.8.11,7812,9508
5.38.72.11,10.11.9.11,9509,11205
5.38.72.11,10.11.10.11,11206,12902
5.38.72.11,10.11.11.11,12903,14599
5.38.72.11,10.11.12.11,14600,16296
5.38.72.11,10.11.13.11,16297,17993
5.38.72.11,10.11.14.11,17994,19690
5.38.72.11,10.11.15.11,19691,21387
5.38.72.11,10.48.0.11,21388,23084
5.38.72.11,10.48.1.11,23085,24781
5.38.72.11,10.48.8.11,24782,26478
5.38.72.11,10.48.9.11,26479,28175
5.38.72.11,10.48.10.11,28176,29872
5.38.72.11,10.48.11.11,29873,31569
5.38.72.11,10.48.12.11,31570,33266
5.38.72.11,10.48.13.11,33267,34963
5.38.72.11,10.48.14.11,34964,36660
5.38.72.11,10.48.15.11,36661,38357
5.38.72.11,10.48.16.11,38358,40054
5.38.72.11,10.48.17.11,40055,41751
5.38.72.11,10.48.18.11,41752,43448
5.38.72.11,10.48.19.11,43449,45145
5.38.72.11,10.48.20.11,45146,46842
5.38.72.11,10.48.21.11,46843,48539
5.38.72.11,10.48.22.11,48540,50236
5.38.72.11,10.48.23.11,50237,51933
5.38.72.11,10.48.24.11,51934,53630
5.38.72.11,10.48.25.11,53631,55327
5.38.72.11,10.48.26.11,55328,57024
5.38.72.11,10.48.27.11,57025,58721
5.38.72.11,10.48.28.11,58722,60418
5.38.72.11,10.48.29.11,60419,62115
5.38.72.11,10.48.30.11,62116,63812
5.38.72.11,10.48.31.11,63813,65509
5.38.72.12,10.11.4.12,1024,2720
5.38.72.12,10.11.5.12,2721,4417
5.38.72.12,10.11.6.12,4418,6114
5.38.72.12,10.11.7.12,6115,7811
5.38.72.12,10.11.8.12,7812,9508
5.38.72.12,10.11.9.12,9509,11205
5.38.72.12,10.11.10.12,11206,12902
5.38.72.12,10.11.11.12,12903,14599
5.38.72.12,10.11.12.12,14600,16296
5.38.72.12,10.11.13.12,16297,17993
5.38.72.12,10.11.14.12,17994,19690
5.38.72.12,10.11.15.12,19691,21387
5.38.72.12,10.48.0.12,21388,23084
5.38.72.12,10.48.1.12,23085,24781
5.38.72.12,10.48.8.12,24782,26478
5.38.72.12,10.48.9.12,26479,28175
5.38.72.12,10.48.10.12,28176,29872
5.38.72.12,10.48.11.12,29873,31569
5.38.72.12,10.48.12.12,31570,33266
5.38.72.12,10.48.13.12,33267,34963
5.38.72.12,10.48.14.12,34964,36660
5.38.72.12,10.48.15.12,36661,38357
5.38.72.12,10.48.16.12,38358,40054
5.38.72.12,10.48.17.12,40055,41751
5.38.72.12,10.48.18.12,41752,43448
5.38.72.12,10.48.19.12,43449,45145
5.38.72.12,10.48.20.12,45146,46842
5.38.72.12,10.48.21.12,46843,48539
5.38.72.12,10.48.22.12,48540,50236
5.38.72.12,10.48.23.12,50237,51933
5.38.72.12,10.48.24.12,51934,53630
5.38.72.12,10.48.25.12,53631,55327
5.38.72.12,10.48.26.12,55328,57024
5.38.72.12,10.48.27.12,57025,58721
5.38.72.12,10.48.28.12,58722,60418
5.38.72.12,10.48.29.12,60419,62115
5.38.72.12,10.48.30.12,62116,63812
5.38.72.12,10.48.31.12,63813,65509
5.38.72.13,10.11.4.13,1024,2720
5.38.72.13,10.11.5.13,2721,4417
5.38.72.13,10.11.6.13,4418,6114
5.38.72.13,10.11.7.13,6115,7811
5.38.72.13,10.11.8.13,7812,9508
5.38.72.13,10.11.9.13,9509,11205
5.38.72.13,10.11.10.13,11206,12902
5.38.72.13,10.11.11.13,12903,14599
5.38.72.13,10.11.12.13,14600,16296
5.38.72.13,10.11.13.13,16297,17993
5.38.72.13,10.11.14.13,17994,19690
5.38.72.13,10.11.15.13,19691,21387
5.38.72.13,10.48.0.13,21388,23084
5.38.72.13,10.48.1.13,23085,24781
5.38.72.13,10.48.8.13,24782,26478
5.38.72.13,10.48.9.13,26479,28175
5.38.72.13,10.48.10.13,28176,29872
5.38.72.13,10.48.11.13,29873,31569
5.38.72.13,10.48.12.13,31570,33266
5.38.72.13,10.48.13.13,33267,34963
5.38.72.13,10.48.14.13,34964,36660
5.38.72.13,10.48.15.13,36661,38357
5.38.72.13,10.48.16.13,38358,40054
5.38.72.13,10.48.17.13,40055,41751
5.38.72.13,10.48.18.13,41752,43448
5.38.72.13,10.48.19.13,43449,45145
5.38.72.13,10.48.20.13,45146,46842
5.38.72.13,10.48.21.13,46843,48539
5.38.72.13,10.48.22.13,48540,50236
5.38.72.13,10.48.23.13,50237,51933
5.38.72.13,10.48.24.13,51934,53630
5.38.72.13,10.48.25.13,53631,55327
5.38.72.13,10.48.26.13,55328,57024
5.38.72.13,10.48.27.13,57025,58721
5.38.72.13,10.48.28.13,58722,60418
5.38.72.13,10.48.29.13,60419,62115
5.38.72.13,10.48.30.13,62116,63812
5.38.72.13,10.48.31.13,63813,65509
5.38.72.14,10.11.4.14,1024,2720
5.38.72.14,10.11.5.14,2721,4417
5.38.72.14,10.11.6.14,4418,6114
5.38.72.14,10.11.7.14,6115,7811
5.38.72.14,10.11.8.14,7812,9508
5.38.72.14,10.11.9.14,9509,11205
5.38.72.14,10.11.10.14,11206,12902
5.38.72.14,10.11.11.14,12903,14599
5.38.72.14,10.11.12.14,14600,16296
5.38.72.14,10.11.13.14,16297,17993
5.38.72.14,10.11.14.14,17994,19690
5.38.72.14,10.11.15.14,19691,21387
5.38.72.14,10.48.0.14,21388,23084
5.38.72.14,10.48.1.14,23085,24781
5.38.72.14,10.48.8.14,24782,26478
5.38.72.14,10.48.9.14,26479,28175
5.38.72.14,10.48.10.14,28176,29872
5.38.72.14,10.48.11.14,29873,31569
5.38.72.14,10.48.12.14,31570,33266
5.38.72.14,10.48.13.14,33267,34963
5.38.72.14,10.48.14.14,34964,36660
5.38.72.14,10.48.15.14,36661,38357
5.38.72.14,10.48.16.14,38358,40054
5.38.72.14,10.48.17.14,40055,41751
5.38.72.14,10.48.18.14,41752,43448
5.38.72.14,10.48.19.14,43449,45145
5.38.72.14,10.48.20.14,45146,46842
5.38.72.14,10.48.21.14,46843,48539
5.38.72.14,10.48.22.14,48540,50236
5.38.72.14,10.48.23.14,50237,51933
5.38.72.14,10.48.24.14,51934,53630
5.38.72.14,10.48.25.14,53631,55327
5.38.72.14,10.48.26.14,55328,57024
5.38.72.14,10.48.27.14,57025,58721
5.38.72.14,10.48.28.14,58722,60418
5.38.72.14,10.48.29.14,60419,62115
5.38.72.14,10.48.30.14,62116,63812
5.38.72.14,10.48.31.14,63813,65509
5.38.72.15,10.11.4.15,1024,2720
5.38.72.15,10.11.5.15,2721,4417
5.38.72.15,10.11.6.15,4418,6114
5.38.72.15,10.11.7.15,6115,7811
5.38.72.15,10.11.8.15,7812,9508
5.38.72.15,10.11.9.15,9509,11205
5.38.72.15,10.11.10.15,11206,12902
5.38.72.15,10.11.11.15,12903,14599
5.38.72.15,10.11.12.15,14600,16296
5.38.72.15,10.11.13.15,16297,17993
5.38.72.15,10.11.14.15,17994,19690
5.38.72.15,10.11.15.15,19691,21387
5.38.72.15,10.48.0.15,21388,23084
5.38.72.15,10.48.1.15,23085,24781
5.38.72.15,10.48.8.15,24782,26478
5.38.72.15,10.48.9.15,26479,28175
5.38.72.15,10.48.10.15,28176,29872
5.38.72.15,10.48.11.15,29873,31569
5.38.72.15,10.48.12.15,31570,33266
5.38.72.15,10.48.13.15,33267,34963
5.38.72.15,10.48.14.15,34964,36660
5.38.72.15,10.48.15.15,36661,38357
5.38.72.15,10.48.16.15,38358,40054
5.38.72.15,10.48.17.15,40055,41751
5.38.72.15,10.48.18.15,41752,43448
5.38.72.15,10.48.19.15,43449,45145
5.38.72.15,10.48.20.15,45146,46842
5.38.72.15,10.48.21.15,46843,48539
5.38.72.15,10.48.22.15,48540,50236
5.38.72.15,10.48.23.15,50237,51933
5.38.72.15,10.48.24.15,51934,53630
5.38.72.15,10.48.25.15,53631,55327
5.38.72.15,10.48.26.15,55328,57024
5.38.72.15,10.48.27.15,57025,58721
5.38.72.15,10.48.28.15,58722,60418
5.38.72.15,10.48.29.15,60419,62115
5.38.72.15,10.48.30.15,62116,63812
5.38.72.15,10.48.31.15,63813,65509
5.38.72.16,10.11.4.16,1024,2720
5.38.72.16,10.11.5.16,2721,4417
5.38.72.16,10.11.6.16,4418,6114
5.38.72.16,10.11.7.16,6115,7811
5.38.72.16,10.11.8.16,7812,9508
5.38.72.16,10.11.9.16,9509,11205
5.38.72.16,10.11.10.16,11206,12902
5.38.72.16,10.11.11.16,12903,14599
5.38.72.16,10.11.12.16,14600,16296
5.38.72.16,10.11.13.16,16297,17993
5.38.72.16,10.11.14.16,17994,19690
5.38.72.16,10.11.15.16,19691,21387
5.38.72.16,10.48.0.16,21388,23084
5.38.72.16,10.48.1.16,23085,24781
5.38.72.16,10.48.8.16,24782,26478
5.38.72.16,10.48.9.16,26479,28175
5.38.72.16,10.48.10.16,28176,29872
5.38.72.16,10.48.11.16,29873,31569
5.38.72.16,10.48.12.16,31570,33266
5.38.72.16,10.48.13.16,33267,34963
5.38.72.16,10.48.14.16,34964,36660
